,Filename,Annotation tag,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y,"Occluded,On another road",Origin file,Origin frame number,Origin track,Origin track frame number
0,stop_1330545910.avi_image0.png,stop,862,104,916,158,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2667,stop_1330545910.avi,2
1,stop_1330545910.avi_image0.png,speedLimitUrdbl,425,197,438,213,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2667,stop_1330545910.avi,2
2,stop_1330545910.avi_image1.png,stop,922,88,982,148,"1,0",aiua120214-0/DataLog02142012_external_camera.avi,2672,stop_1330545910.avi,7
3,stop_1330545910.avi_image1.png,speedLimit25,447,193,461,210,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2672,stop_1330545910.avi,7
4,stop_1330545910.avi_image2.png,speedLimit25,469,189,483,207,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2677,stop_1330545910.avi,12
5,speedLimit_1330545914.avi_image0.png,speedLimit25,529,183,546,203,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2717,speedLimit_1330545914.avi,2
6,speedLimit_1330545914.avi_image1.png,speedLimit25,526,191,543,211,"1,0",aiua120214-0/DataLog02142012_external_camera.avi,2724,speedLimit_1330545914.avi,9
7,speedLimit_1330545914.avi_image2.png,speedLimit25,522,189,540,210,"1,0",aiua120214-0/DataLog02142012_external_camera.avi,2731,speedLimit_1330545914.avi,16
8,speedLimit_1330545914.avi_image3.png,speedLimit25,518,191,536,213,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2738,speedLimit_1330545914.avi,23
9,speedLimit_1330545914.avi_image4.png,speedLimit25,515,191,533,213,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2745,speedLimit_1330545914.avi,30
10,speedLimit_1330545914.avi_image5.png,speedLimit25,512,191,531,213,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2752,speedLimit_1330545914.avi,37
11,speedLimit_1330545914.avi_image6.png,speedLimit25,511,191,530,213,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2759,speedLimit_1330545914.avi,44
12,speedLimit_1330545914.avi_image7.png,speedLimit25,511,191,530,213,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2766,speedLimit_1330545914.avi,51
13,speedLimit_1330545914.avi_image8.png,speedLimit25,512,192,531,216,"0,0",aiua120214-0/DataLog02142012_external_camera.avi,2773,speedLimit_1330545914.avi,58
